2023-06-21,10:29:31,BE,statusResetBE,MM,MM,rudder,mainThruster,bow,_
2023-06-21,10:29:31,50,0,49,30,1350,1200,0,
2023-06-21,10:29:32,50,0,49,30,1350,1200,0,
2023-06-21,10:29:33,50,0,49,30,1350,1200,0,
2023-06-21,10:29:34,50,0,49,30,1350,1200,0,
2023-06-21,10:29:35,57,0,49,30,1350,1200,0,
2023-06-21,10:29:36,62,0,48,30,1350,1200,0,
2023-06-21,10:29:37,67,0,48,30,1350,1200,0,
2023-06-21,10:29:38,72,0,48,30,1350,1200,0,
2023-06-21,10:29:39,76,0,48,30,1350,1200,0,
2023-06-21,10:29:40,77,0,48,30,1350,1200,0,
2023-06-21,10:29:41,82,0,47,30,1350,1200,0,
2023-06-21,10:29:42,77,0,47,30,1350,1200,0,
2023-06-21,10:29:43,86,0,47,30,1350,1200,0,
2023-06-21,10:29:44,84,0,47,30,1350,1200,0,
2023-06-21,10:29:45,90,0,47,30,1350,1200,0,
2023-06-21,10:29:46,97,0,46,30,1350,1200,0,
2023-06-21,10:29:47,102,0,46,30,1350,1200,0,
2023-06-21,10:29:48,107,0,46,30,1350,1200,0,
2023-06-21,10:29:49,102,0,46,30,1350,1200,0,
2023-06-21,10:29:50,112,0,46,30,1350,1200,0,
2023-06-21,10:29:51,112,0,45,30,1378,1200,0,
2023-06-21,10:29:52,117,0,45,30,1479,1200,0,
2023-06-21,10:29:53,113,0,45,30,1500,1200,0,
2023-06-21,10:29:54,122,0,45,30,1550,1200,0,
2023-06-21,10:29:55,125,0,45,30,1629,1200,0,
2023-06-21,10:29:56,118,0,44,30,1613,1200,0,
2023-06-21,10:29:57,131,0,44,30,1625,1200,0,
2023-06-21,10:29:58,121,0,44,30,1584,1200,0,
2023-06-21,10:29:59,122,0,44,30,1569,1200,0,
2023-06-21,10:30:00,127,0,44,30,1536,1200,0,
2023-06-21,10:30:01,134,0,43,30,1550,1200,0,
2023-06-21,10:30:02,135,0,43,30,1500,1200,0,
2023-06-21,10:30:03,140,0,43,30,1500,1200,0,
2023-06-21,10:30:04,142,0,43,30,1450,1200,0,
2023-06-21,10:30:05,147,0,43,30,1450,1200,0,
2023-06-21,10:30:06,140,0,42,30,1436,1200,0,
2023-06-21,10:30:07,142,0,42,30,1407,1200,0,
2023-06-21,10:30:08,151,0,42,30,1436,1200,0,
2023-06-21,10:30:09,151,0,42,30,1446,1200,0,
2023-06-21,10:30:10,150,0,42,30,1442,1200,0,
2023-06-21,10:30:11,149,0,41,30,1450,1200,0,
2023-06-21,10:30:12,157,0,41,30,1450,1200,0,
2023-06-21,10:30:13,155,0,41,30,1450,1200,0,
2023-06-21,10:30:14,154,0,41,30,1450,1200,0,
2023-06-21,10:30:15,162,0,41,30,1500,1200,0,
2023-06-21,10:30:16,157,0,40,30,1500,1200,0,
2023-06-21,10:30:17,153,0,40,30,1500,1200,0,
2023-06-21,10:30:18,167,0,40,30,1500,1200,0,
2023-06-21,10:30:19,167,0,40,30,1500,1200,0,
2023-06-21,10:30:20,172,0,40,30,1500,1200,0,
2023-06-21,10:30:21,171,0,39,30,1450,1200,0,
2023-06-21,10:30:22,177,0,39,30,1450,1200,0,
2023-06-21,10:30:23,159,0,39,30,1450,1200,0,
2023-06-21,10:30:24,173,0,39,30,1450,1200,0,
2023-06-21,10:30:26,172,0,39,30,1450,1200,0,
2023-06-21,10:30:27,179,0,39,30,1450,1200,0,
2023-06-21,10:30:28,180,0,38,30,1450,1200,0,
2023-06-21,10:30:29,184,0,38,30,1450,1200,0,
2023-06-21,10:30:30,178,0,38,30,1450,1200,0,
2023-06-21,10:30:31,186,0,38,30,1450,1200,0,
2023-06-21,10:30:32,180,0,38,30,1500,1200,0,
2023-06-21,10:30:33,192,0,37,30,1500,1200,0,
2023-06-21,10:30:34,182,0,37,30,1450,1200,0,
2023-06-21,10:30:35,191,0,37,30,1500,1200,0,
2023-06-21,10:30:36,195,0,37,30,1500,1200,0,
2023-06-21,10:30:37,191,0,37,30,1450,1200,0,
2023-06-21,10:30:38,202,0,36,30,1450,1200,0,
2023-06-21,10:30:39,202,0,36,30,1450,1200,0,
2023-06-21,10:30:40,202,0,36,30,1450,1200,0,
2023-06-21,10:30:41,207,0,36,30,1450,1200,0,
2023-06-21,10:30:42,204,0,36,30,1500,1200,0,
2023-06-21,10:30:43,212,0,35,30,1500,1200,0,
2023-06-21,10:30:44,212,0,35,30,1500,1200,0,
2023-06-21,10:30:45,209,0,35,30,1500,1200,0,
2023-06-21,10:30:46,215,0,35,30,1500,1200,0,
2023-06-21,10:30:47,217,0,35,30,1500,1200,0,
2023-06-21,10:30:48,221,0,34,30,1500,1200,0,
2023-06-21,10:30:49,216,0,34,30,1500,1200,0,
2023-06-21,10:30:50,219,0,34,30,1500,1200,0,
2023-06-21,10:30:51,215,0,34,30,1500,1200,0,
2023-06-21,10:30:52,227,0,34,30,1500,1200,0,
2023-06-21,10:30:53,222,0,33,30,1500,1200,0,
2023-06-21,10:30:54,226,0,33,30,1500,1200,0,
2023-06-21,10:30:55,232,0,33,30,1500,1200,0,
2023-06-21,10:30:56,232,0,33,30,1500,1200,0,
2023-06-21,10:30:57,237,0,33,30,1450,1200,0,
2023-06-21,10:30:58,237,0,32,30,1450,1200,0,
2023-06-21,10:30:59,224,0,32,30,1450,1200,0,
2023-06-21,10:31:00,235,0,32,30,1500,1200,0,
2023-06-21,10:31:01,235,0,32,30,1500,1200,0,
2023-06-21,10:31:02,226,0,32,30,1500,1200,0,
2023-06-21,10:31:03,242,0,31,30,1500,1200,0,
2023-06-21,10:31:04,236,0,31,30,1500,1200,0,
2023-06-21,10:31:05,234,0,31,30,1500,1200,0,
2023-06-21,10:31:06,247,0,31,30,1500,1200,0,
2023-06-21,10:31:07,247,0,31,30,1500,1200,0,
2023-06-21,10:31:08,252,0,30,30,1450,1200,0,
2023-06-21,10:31:09,252,0,30,30,1450,1200,0,
2023-06-21,10:31:10,257,0,30,30,1500,1200,0,
2023-06-21,10:31:11,257,0,30,30,1500,1200,0,
2023-06-21,10:31:12,259,0,30,30,1500,1200,0,
2023-06-21,10:31:13,259,0,29,30,1500,1200,0,
2023-06-21,10:31:14,258,0,29,30,1500,1200,0,
2023-06-21,10:31:15,245,0,29,30,1500,1200,0,
2023-06-21,10:31:16,255,0,29,30,1500,1200,0,
2023-06-21,10:31:17,252,0,29,30,1500,1200,0,
2023-06-21,10:31:18,259,0,29,30,1500,1200,0,
2023-06-21,10:31:19,262,0,28,30,1500,1200,0,
2023-06-21,10:31:20,255,0,28,30,1500,1200,0,
2023-06-21,10:31:21,265,0,28,30,1450,1200,0,
2023-06-21,10:31:22,267,0,28,30,1450,1200,0,
2023-06-21,10:31:23,264,0,28,30,1450,1200,0,
2023-06-21,10:31:24,272,0,27,30,1450,1200,0,
2023-06-21,10:31:25,272,0,27,30,1450,1200,0,
2023-06-21,10:31:26,257,0,27,30,1450,1200,0,
2023-06-21,10:31:27,277,0,27,30,1450,1200,0,
2023-06-21,10:31:28,265,0,27,30,1450,1200,0,
2023-06-21,10:31:29,273,0,27,30,1450,1200,0,
2023-06-21,10:31:30,277,0,26,30,1450,1200,0,
2023-06-21,10:31:31,275,0,26,30,1500,1200,0,
2023-06-21,10:31:32,272,0,26,30,1450,1200,0,
2023-06-21,10:31:33,279,0,26,30,1500,1200,0,
2023-06-21,10:31:34,279,0,26,30,1500,1200,0,
2023-06-21,10:31:35,279,0,25,30,1500,1200,0,
2023-06-21,10:31:36,285,0,25,30,1500,1200,0,
2023-06-21,10:31:37,285,0,25,30,1500,1200,0,
2023-06-21,10:31:38,288,0,25,30,1500,1200,0,
2023-06-21,10:31:39,292,0,25,30,1500,1200,0,
2023-06-21,10:31:40,295,0,24,30,1450,1200,0,
2023-06-21,10:31:41,287,0,24,30,1450,1200,0,
2023-06-21,10:31:42,302,0,24,30,1450,1200,0,
2023-06-21,10:31:43,295,0,24,30,1450,1200,0,
2023-06-21,10:31:44,297,0,24,30,1450,1200,0,
2023-06-21,10:31:45,307,0,24,30,1450,1200,0,
2023-06-21,10:31:47,299,0,23,30,1500,1200,0,
2023-06-21,10:31:48,312,0,23,30,1500,1200,0,
2023-06-21,10:31:49,305,0,23,30,1500,1200,0,
2023-06-21,10:31:50,310,0,23,30,1500,1200,0,
2023-06-21,10:31:51,317,0,23,30,1500,1200,0,
2023-06-21,10:31:52,307,0,22,30,1450,1200,0,
2023-06-21,10:31:53,319,0,22,30,1450,1200,0,
2023-06-21,10:31:54,320,0,22,30,1450,1200,0,
2023-06-21,10:31:55,312,0,22,30,1450,1200,0,
2023-06-21,10:31:56,327,0,22,30,1450,1200,0,
2023-06-21,10:31:57,325,0,22,30,1500,1200,0,
2023-06-21,10:31:58,332,0,21,30,1500,1200,0,
2023-06-21,10:31:59,331,0,21,30,1500,1200,0,
2023-06-21,10:32:00,337,0,21,30,1450,1200,0,
2023-06-21,10:32:01,337,0,21,30,1450,1200,0,
2023-06-21,10:32:02,331,0,21,30,1450,1200,0,
2023-06-21,10:32:03,342,0,20,30,1447,1200,0,
2023-06-21,10:32:04,336,0,20,30,1449,1200,0,
2023-06-21,10:32:05,341,0,20,30,1432,1200,0,
2023-06-21,10:32:06,347,0,20,30,1440,1200,0,
2023-06-21,10:32:07,339,0,20,30,1450,1200,0,
2023-06-21,10:32:08,346,0,20,30,1445,1200,0,
2023-06-21,10:32:09,341,0,20,30,1450,1200,0,
