Wed Aug 01 2018 21:53:23<< Error rudder : -0.0275326, PID rudder : -0.112883
Wed Aug 01 2018 21:53:23|| Error bladder : -0.26, PID bladder : 0.5
Wed Aug 01 2018 21:53:23>> Error ballast : 20, PID ballast : 0.5
Wed Aug 01 2018 21:54:02<< Error rudder : -0.0288263, PID rudder : -0.142967
Wed Aug 01 2018 21:54:02|| Error bladder : 1.15, PID bladder : -0.5
Wed Aug 01 2018 21:54:02>> Error ballast : -27.493, PID ballast : -0.5
Wed Aug 01 2018 21:54:20<< Error rudder : -0.0294155, PID rudder : -0.17408
Wed Aug 01 2018 21:54:20|| Error bladder : 0.5525, PID bladder : -0.5
Wed Aug 01 2018 21:54:20>> Error ballast : -47.0525, PID ballast : -0.5
Wed Aug 01 2018 21:54:36<< Error rudder : -0.0294412, PID rudder : -0.203542
Wed Aug 01 2018 21:54:36|| Error bladder : -0.5124, PID bladder : -0.5
Wed Aug 01 2018 21:54:36>> Error ballast : -38.2312, PID ballast : 0.5
Wed Aug 01 2018 22:01:58<< Error rudder : -0.0275326, PID rudder : -0.112883
Wed Aug 01 2018 22:01:58|| Error bladder : -0.26, PID bladder : 0.5
Wed Aug 01 2018 22:01:58>> Error ballast : 20, PID ballast : 0.5
Wed Aug 01 2018 22:02:14<< Error rudder : -0.0275326, PID rudder : -0.137663
Wed Aug 01 2018 22:02:14|| Error bladder : -0.26, PID bladder : 0.5
Wed Aug 01 2018 22:02:14>> Error ballast : 20, PID ballast : 0.5
Wed Aug 01 2018 22:02:43<< Error rudder : -0.0292253, PID rudder : -0.172136
Wed Aug 01 2018 22:02:43|| Error bladder : 1.169, PID bladder : -0.5
Wed Aug 01 2018 22:02:43>> Error ballast : -38.0662, PID ballast : -0.5
Wed Aug 01 2018 22:02:59<< Error rudder : -0.0299718, PID rudder : -0.204252
Wed Aug 01 2018 22:02:59|| Error bladder : 0.9024, PID bladder : -0.5
Wed Aug 01 2018 22:02:59>> Error ballast : -59.2683, PID ballast : -0.5
Wed Aug 01 2018 22:03:15<< Error rudder : -0.0294414, PID rudder : -0.231975
Wed Aug 01 2018 22:03:15|| Error bladder : -0.4667, PID bladder : -0.5
Wed Aug 01 2018 22:03:15>> Error ballast : -51.9273, PID ballast : 0.5
Wed Aug 01 2018 22:03:32<< Error rudder : -0.0300943, PID rudder : -0.264146
Wed Aug 01 2018 22:03:32|| Error bladder : -0.2927, PID bladder : -0.5
Wed Aug 01 2018 22:03:32>> Error ballast : -28.4052, PID ballast : 0.5
Wed Aug 01 2018 22:03:59<< Error rudder : -0.024275, PID rudder : -0.270316
Wed Aug 01 2018 22:03:59|| Error bladder : 1.0884, PID bladder : 0.5
Wed Aug 01 2018 22:03:59>> Error ballast : 20, PID ballast : -0.5
Wed Aug 01 2018 22:04:16<< Error rudder : -0.00926004, PID rudder : -0.233612
Wed Aug 01 2018 22:04:16|| Error bladder : 0.3382, PID bladder : 0.5
Wed Aug 01 2018 22:04:16>> Error ballast : 20, PID ballast : -0.32036
Wed Aug 01 2018 22:04:33<< Error rudder : -0.0193554, PID rudder : -0.285764
Wed Aug 01 2018 22:04:33|| Error bladder : -0.8805, PID bladder : 0.5
Wed Aug 01 2018 22:04:33>> Error ballast : 20, PID ballast : 0.5
Wed Aug 01 2018 22:04:49<< Error rudder : -0.0168321, PID rudder : -0.293764
Wed Aug 01 2018 22:04:49|| Error bladder : -0.558, PID bladder : 0.5
Wed Aug 01 2018 22:04:49>> Error ballast : 20, PID ballast : 0.5
Wed Aug 01 2018 22:05:05<< Error rudder : -0.0161673, PID rudder : -0.308123
Wed Aug 01 2018 22:05:05|| Error bladder : 0.9146, PID bladder : 0.5
Wed Aug 01 2018 22:05:05>> Error ballast : 20, PID ballast : -0.5
Wed Aug 01 2018 22:05:22<< Error rudder : -0.0163938, PID rudder : -0.325286
Wed Aug 01 2018 22:05:22|| Error bladder : 1.2711, PID bladder : -0.5
Wed Aug 01 2018 22:05:22>> Error ballast : -29.5003, PID ballast : -0.5
Wed Aug 01 2018 22:05:38<< Error rudder : -0.014586, PID rudder : -0.334245
Wed Aug 01 2018 22:05:38|| Error bladder : -0.42, PID bladder : -0.5
Wed Aug 01 2018 22:05:38>> Error ballast : -40.1174, PID ballast : 0.5
Wed Aug 01 2018 22:05:54<< Error rudder : -0.0140294, PID rudder : -0.34673
Wed Aug 01 2018 22:05:54|| Error bladder : -0.635, PID bladder : -0.5
Wed Aug 01 2018 22:05:54>> Error ballast : -19.1959, PID ballast : 0.5
Wed Aug 01 2018 22:06:22<< Error rudder : -0.00880903, PID rudder : -0.339411
Wed Aug 01 2018 22:06:22|| Error bladder : 1.0763, PID bladder : 0.5
