Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
Tue Aug 14 2018 20:32:57ascent_flag : 0, descent_flag : 1, pitch_up_flag : 0, pitch_down_flag : 1, global_depth : 0, global_pitch : 0
